Message Type,Transmission Type,Session ID,AircraftID,HexIdnet,FlightID,Date MSG Generated,Time MSG Generated,Time MSG Received,Time MSG Received,a,b,c,d,Latitude,Longitude,e,f,g,h,i,j,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:55.9,10/1/2018,33:55.9,,,,,,,,1305,0,0,0,,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:55.9,10/1/2018,33:55.9,,24200,,,,,,,0,,0,,,,,,,
MSG,3,1,1,7C6C2B,1,10/1/2018,33:55.9,10/1/2018,33:56.0,,10575,,,-33.61551,151.49367,,,0,,0,0,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:55.9,10/1/2018,33:56.0,,25300,,,,,1952,,0,,0,,,,,,,
MSG,3,1,1,7C089A,1,10/1/2018,33:55.9,10/1/2018,33:56.0,,24200,,,-33.20185,151.82012,,,0,,0,0,,,,,,
MSG,4,1,1,7C089A,1,10/1/2018,33:55.9,10/1/2018,33:56.0,,,440,15,,,2112,,,,,0,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:55.9,10/1/2018,33:56.0,,,,,,,,1305,0,0,0,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:55.9,10/1/2018,33:56.0,,,436,19,,,,1305,0,0,0,,,,,,,
MSG,8,1,1,7C6C2B,1,10/1/2018,33:56.0,10/1/2018,33:56.0,,,,,,,,,,,,0,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:56.0,10/1/2018,33:56.0,,24200,,,,,2176,,0,,0,,,,,,,
MSG,8,1,1,7C6D9D,1,10/1/2018,33:56.0,10/1/2018,33:56.0,,,,,,,,,,,,0,,,,,,
MSG,7,1,1,7C6C2B,1,10/1/2018,33:56.0,10/1/2018,33:56.0,,10575,,,,,,,,,,,,,,,,
MSG,7,1,1,7C6D9D,1,10/1/2018,33:56.1,10/1/2018,33:56.1,,25300,,,,,,,,,,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:56.1,10/1/2018,33:56.1,,25300,,,,,,,0,,0,,,,,,,
MSG,3,1,1,7C6D9D,1,10/1/2018,33:56.1,10/1/2018,33:56.1,,25300,,,-32.98589,151.71945,,,0,,0,0,,,,,,
MSG,7,1,1,7C089A,1,10/1/2018,33:56.2,10/1/2018,33:56.2,,24200,,,,,,,,,,,,,,,,
MSG,4,1,1,7C6D9D,1,10/1/2018,33:56.2,10/1/2018,33:56.2,,,436,19,,,1856,,,,,0,,,,,,
MSG,4,1,1,7C5C50,1,10/1/2018,33:56.2,10/1/2018,33:56.2,,,116,349,,,1344,,,,,,,,,,,
MSG,6,1,1,7C089A,1,10/1/2018,33:56.2,10/1/2018,33:56.2,,,,,,,,1333,0,0,0,,,,,,,
MSG,8,1,1,7C089A,1,10/1/2018,33:56.3,10/1/2018,33:56.4,,,,,,,,,,,,0,,,,,,
MSG,4,1,1,7C6C2B,1,10/1/2018,33:56.3,10/1/2018,33:56.4,,,378,18,,,2688,,,,,0,,,,,,
MSG,3,1,1,7C6C2B,1,10/1/2018,33:56.3,10/1/2018,33:56.4,,10600,,,-33.61487,151.49395,,,0,,0,0,,,,,,
